"Fund","Max_Drawdown_Pct"
BlackRock World Mining,-26.21
International Public Partnerships,-19.92
Henderson Far East Income,-18.58
Monks Investment Trust,-18.5
Scottish Mortgage,-18.3
Lowland Investment Trust,-16.82
JPMorgan Global Growth & Income,-16.57
JPMorgan European Growth & Income,-15.86
Bankers Investment Trust,-14.97
Murray International,-13.47
Merchants Trust,-13.1
F&C Investment Trust,-13.05
Scottish American,-12.52
FTSE All World,-11.43
Active Fund Average,-9.67
Law Debenture,-9.33
S&P 500,-8.62
Temple Bar,-7.51
City of London,-6.83
TwentyFour Income Fund,-6.78
FTSE 100,-6.73
Personal Assets Trust,-5.58
