"Fund","Months_Above_Start","Months_Below_Start","Pct_Time_Positive"
Temple Bar,36,0,100.0
S&P 500,36,0,100.0
FTSE All World,36,0,100.0
Scottish Mortgage,35,1,97.2
JPMorgan Global Growth & Income,35,1,97.2
Monks Investment Trust,34,2,94.4
FTSE 100,34,2,94.4
Bankers Investment Trust,34,2,94.4
JPMorgan European Growth & Income,33,3,91.7
F&C Investment Trust,32,4,88.9
Active Fund Average,32,4,88.9
TwentyFour Income Fund,30,6,83.3
Personal Assets Trust,30,6,83.3
Lowland Investment Trust,30,6,83.3
Law Debenture,30,6,83.3
City of London,29,7,80.6
Merchants Trust,24,12,66.7
Murray International,22,14,61.1
Scottish American,16,20,44.4
BlackRock World Mining,15,21,41.7
Henderson Far East Income,5,31,13.9
International Public Partnerships,1,35,2.8
