"Fund","Months","Avg_Monthly_Return_Pct","Variance","Annualised_Return_Pct"
Scottish Mortgage,35,2.53,0.008455,30.36
Lowland Investment Trust,35,1.39,0.008351,16.68
BlackRock World Mining,35,1.61,0.007445,19.32
Monks Investment Trust,35,1.66,0.007074,19.92
Bankers Investment Trust,35,1.38,0.007018,16.56
JPMorgan European Growth & Income,35,1.41,0.00628,16.92
F&C Investment Trust,35,1.22,0.003476,14.64
Scottish American,35,0.16,0.002933,1.92
Law Debenture,35,1.22,0.00249,14.64
Henderson Far East Income,35,0.32,0.002382,3.84
Murray International,35,0.89,0.002278,10.68
Merchants Trust,35,0.42,0.002254,5.04
Temple Bar,35,1.7,0.001981,20.4
Active Fund Average,35,0.97,0.001845,11.64
International Public Partnerships,35,-0.08,0.00155,-0.96
JPMorgan Global Growth & Income,35,0.78,0.001548,9.36
S&P 500,35,1.61,0.001371,19.32
FTSE All World,35,1.37,0.001063,16.44
City of London,35,0.98,0.000887,11.76
FTSE 100,35,0.98,0.000772,11.76
TwentyFour Income Fund,35,0.16,0.000489,1.92
Personal Assets Trust,35,0.36,0.000226,4.32
