"Fund","Annualised_Return_Pct","Volatility","Sharpe_Ratio"
FTSE All World,16.46,0.001063,9.38
S&P 500,19.28,0.001371,8.98
FTSE 100,11.76,0.000772,7.83
City of London,11.74,0.000887,6.8
Temple Bar,20.41,0.001981,6.69
Law Debenture,14.61,0.00249,3.39
Active Fund Average,11.63,0.001845,3.22
JPMorgan Global Growth & Income,9.34,0.001548,2.61
Scottish Mortgage,30.36,0.008455,2.55
F&C Investment Trust,14.66,0.003476,2.43
Murray International,10.73,0.002278,2.28
Monks Investment Trust,19.93,0.007074,1.82
BlackRock World Mining,19.31,0.007445,1.66
JPMorgan European Growth & Income,16.9,0.00628,1.65
Bankers Investment Trust,16.57,0.007018,1.43
Lowland Investment Trust,16.66,0.008351,1.21
Merchants Trust,5.0,0.002254,0.19
Henderson Far East Income,3.85,0.002382,-0.23
Personal Assets Trust,4.37,0.000226,-0.49
Scottish American,1.87,0.002933,-0.75
International Public Partnerships,-0.97,0.00155,-2.94
TwentyFour Income Fund,1.91,0.000489,-4.42
