"Fund","Final_Value","Return_Pct","GBP_1000_invested"
Scottish Mortgage,2.0813,108.13,2081.3
Temple Bar,1.7449,74.49,1744.9
S&P 500,1.7064,70.64,1706.4
FTSE All World,1.5818,58.18,1581.8
Monks Investment Trust,1.5787,57.87,1578.7
BlackRock World Mining,1.538,53.8,1538.0
Law Debenture,1.4642,46.42,1464.2
JPMorgan European Growth & Income,1.4616,46.16,1461.6
F&C Investment Trust,1.4408,44.08,1440.8
Bankers Investment Trust,1.4328,43.28,1432.8
Lowland Investment Trust,1.4012,40.12,1401.2
FTSE 100,1.3877,38.77,1387.7
City of London,1.3844,38.44,1384.4
Active Fund Average,1.3572,35.72,1357.2
Murray International,1.313,31.3,1313.0
JPMorgan Global Growth & Income,1.2764,27.64,1276.4
Personal Assets Trust,1.1309,13.09,1130.9
Merchants Trust,1.112,11.2,1112.0
Henderson Far East Income,1.0731,7.31,1073.1
TwentyFour Income Fund,1.0483,4.83,1048.3
Scottish American,1.0028,0.28,1002.8
International Public Partnerships,0.9458,-5.42,945.8
